epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3233.28,1.63167,1.47011,1.59194,0.89256,0.68539,0.73208,0.42157,1.5946,1.25759,1.51217,0.0011882,0.0011882,0.0011882
43,3307.11,1.63071,1.46224,1.5792,0.92082,0.70112,0.73921,0.41946,1.61916,1.22736,1.50564,0.0011684,0.0011684,0.0011684
44,3380.76,1.61509,1.45646,1.57656,0.90699,0.70337,0.73939,0.4354,1.56744,1.18274,1.50344,0.0011486,0.0011486,0.0011486
45,3454.64,1.62157,1.43057,1.57267,0.88801,0.70562,0.74479,0.44095,1.50378,1.20132,1.45635,0.0011288,0.0011288,0.0011288
46,3528.46,1.62081,1.41267,1.56427,0.90107,0.69589,0.74368,0.44424,1.51617,1.17385,1.49466,0.001109,0.001109,0.001109
47,3602.44,1.62794,1.44314,1.57959,0.91592,0.69438,0.74441,0.44974,1.47304,1.14987,1.44067,0.0010892,0.0010892,0.0010892
48,3676.53,1.60999,1.44099,1.58268,0.91935,0.68764,0.74876,0.42326,1.62395,1.24062,1.50795,0.0010694,0.0010694,0.0010694
49,3752.83,1.57708,1.38556,1.53433,0.91983,0.70562,0.74483,0.43831,1.55305,1.19558,1.47092,0.0010496,0.0010496,0.0010496
50,3828.22,1.59174,1.43599,1.54722,0.93587,0.68871,0.73561,0.41326,1.67666,1.24988,1.56278,0.0010298,0.0010298,0.0010298
51,3901.6,1.59586,1.41008,1.55274,0.88853,0.69888,0.73766,0.42167,1.58943,1.18524,1.507,0.00101,0.00101,0.00101
52,3974.85,1.57191,1.39487,1.54377,0.9176,0.70112,0.73852,0.43962,1.5441,1.17183,1.49639,0.0009902,0.0009902,0.0009902
53,4048.66,1.60383,1.4199,1.55993,0.91106,0.69888,0.74217,0.4359,1.51974,1.18048,1.47337,0.0009704,0.0009704,0.0009704
54,4122.87,1.59964,1.39822,1.56017,0.94691,0.69213,0.74916,0.44305,1.53766,1.16091,1.47391,0.0009506,0.0009506,0.0009506
55,4196.64,1.57042,1.37205,1.52991,0.91928,0.71011,0.73972,0.44102,1.50979,1.17495,1.46829,0.0009308,0.0009308,0.0009308
56,4269.61,1.5695,1.3589,1.52108,0.94049,0.69213,0.75599,0.44999,1.54396,1.09508,1.48267,0.000911,0.000911,0.000911
57,4343.36,1.57173,1.36955,1.53433,0.9327,0.68518,0.73347,0.45396,1.45527,1.1363,1.43941,0.0008912,0.0008912,0.0008912
58,4416.69,1.58804,1.4097,1.55087,0.94222,0.6963,0.75329,0.43716,1.5405,1.17382,1.47097,0.0008714,0.0008714,0.0008714
59,4490.25,1.54909,1.35315,1.52266,0.93406,0.70036,0.7455,0.46004,1.45042,1.15287,1.45728,0.0008516,0.0008516,0.0008516
60,4563.31,1.54884,1.36575,1.5251,0.96259,0.6939,0.75062,0.4447,1.53449,1.09789,1.45753,0.0008318,0.0008318,0.0008318
61,4636.21,1.53695,1.34005,1.51494,0.94649,0.69213,0.74604,0.46425,1.43727,1.09756,1.43235,0.000812,0.000812,0.000812
62,4709.6,1.5549,1.34336,1.52513,0.93475,0.7082,0.7527,0.43935,1.51263,1.10253,1.46555,0.0007922,0.0007922,0.0007922
63,4781.99,1.55618,1.34489,1.51093,0.93148,0.69663,0.75332,0.46115,1.451,1.09769,1.4267,0.0007724,0.0007724,0.0007724
64,4854.99,1.53946,1.35348,1.51525,0.95186,0.69663,0.76151,0.45381,1.51658,1.10933,1.47955,0.0007526,0.0007526,0.0007526
65,4928.38,1.5216,1.30787,1.49881,0.92761,0.70337,0.75133,0.46831,1.40883,1.08326,1.42576,0.0007328,0.0007328,0.0007328
66,5001.63,1.53537,1.32246,1.50408,0.94618,0.71114,0.75212,0.46378,1.44851,1.09277,1.43499,0.000713,0.000713,0.000713
67,5074.45,1.5308,1.31375,1.49799,0.93841,0.69438,0.75524,0.46324,1.45161,1.07247,1.43905,0.0006932,0.0006932,0.0006932
68,5147.25,1.52862,1.34667,1.51941,0.91776,0.70215,0.74049,0.45204,1.48418,1.17582,1.45196,0.0006734,0.0006734,0.0006734
69,5220.06,1.49339,1.29134,1.49348,0.93294,0.70787,0.74691,0.46052,1.44776,1.11068,1.42631,0.0006536,0.0006536,0.0006536
70,5292.83,1.52501,1.34469,1.50845,0.94062,0.71011,0.75086,0.46129,1.42873,1.11683,1.41412,0.0006338,0.0006338,0.0006338
71,5365.71,1.51028,1.29777,1.48142,0.93723,0.70337,0.76232,0.47459,1.43122,1.09912,1.42784,0.000614,0.000614,0.000614
72,5438.82,1.51455,1.30152,1.48572,0.9205,0.71011,0.75183,0.46204,1.46557,1.09288,1.43248,0.0005942,0.0005942,0.0005942
73,5512.79,1.50171,1.29094,1.48365,0.93655,0.69213,0.75457,0.46211,1.45327,1.08901,1.43032,0.0005744,0.0005744,0.0005744
